timestamps,TP9,AF7,AF8,TP10,Right AUX
1786901610.998,-165.039,-241.211,-572.266,115.234,0.000
1786901611.002,-402.832,-156.738,-461.914,370.117,0.000
1786901611.005,117.676,-20.020,-435.547,97.656,0.000
1786901611.009,443.359,-107.422,-483.398,-214.355,0.000
1786901611.013,-26.367,-192.383,-519.531,2.441,0.000
1786901611.017,-422.852,-187.500,-509.766,394.043,0.000
1786901611.021,-30.762,-162.598,-494.629,271.973,0.000
1786901611.025,463.379,-189.453,-580.078,-132.812,0.000
1786901611.029,155.273,-272.461,-618.164,-98.633,0.000
1786901611.033,-425.781,-78.125,-410.645,270.508,0.000
1786901611.037,-226.562,67.871,-344.727,323.730,0.000
1786901611.040,391.602,-117.188,-527.832,-27.832,0.000
1786901611.045,319.336,-295.898,-642.578,-158.691,0.000
1786901611.048,-302.734,-140.625,-480.469,147.461,0.000
1786901611.052,-345.215,20.996,-347.168,324.707,0.000
1786901611.056,267.578,-115.723,-437.988,29.297,0.000
1786901611.060,419.922,-202.637,-548.828,-259.766,0.000
1786901611.064,-160.645,-168.945,-484.863,-1.465,0.000
1786901611.068,-417.969,-119.141,-416.992,330.566,0.000
1786901611.072,104.004,-233.398,-566.406,146.973,0.000
1786901611.076,459.473,-187.988,-541.016,-216.797,0.000
1786901611.080,20.996,48.828,-291.992,-109.863,0.000
1786901611.083,-380.371,21.973,-312.500,309.082,0.000
1786901611.087,-21.484,-172.852,-402.344,297.852,0.000
1786901611.091,490.723,-165.039,-400.391,-119.629,0.000
1786901611.095,241.211,-4.395,-330.566,-179.199,0.000
1786901611.099,-310.059,-80.566,-339.355,257.324,0.000
1786901611.103,-188.965,-143.066,-354.004,377.441,0.000
1786901611.107,390.137,-63.477,-302.246,-20.996,0.000
1786901611.111,405.762,-118.164,-397.949,-196.777,0.000
1786901611.115,-185.059,-182.129,-429.688,170.898,0.000
1786901611.119,-300.781,-284.668,-459.473,463.379,0.000
1786901611.123,225.586,-113.770,-352.051,112.793,0.000
1786901611.126,452.148,84.961,-256.836,-221.191,0.000
1786901611.130,-46.875,-89.844,-377.930,78.125,0.000
1786901611.134,-365.723,-136.230,-412.598,434.570,0.000
1786901611.138,92.773,-26.367,-309.082,239.746,0.000
1786901611.142,522.461,-41.992,-331.055,-139.648,0.000
1786901611.146,148.926,-173.828,-435.059,-26.855,0.000
1786901611.150,-354.980,-136.230,-384.766,376.953,0.000
1786901611.154,-69.824,-46.875,-323.730,349.121,0.000
1786901611.158,493.164,-155.273,-436.523,-38.574,0.000
1786901611.162,320.312,-333.984,-572.266,-41.504,0.000
1786901611.166,-271.484,-291.016,-526.855,335.449,0.000
1786901611.169,-224.121,7.812,-288.574,412.598,0.000
1786901611.173,403.809,-14.648,-365.723,55.176,0.000
1786901611.177,471.680,-198.730,-477.051,-135.742,0.000
1786901611.181,-120.117,-154.785,-419.434,178.711,0.000
1786901611.185,-292.969,3.906,-286.133,437.012,0.000
1786901611.189,249.023,-27.832,-315.918,189.941,0.000
1786901611.193,541.992,-216.309,-467.773,-100.586,0.000
1786901611.197,34.668,-169.434,-383.301,80.566,0.000
1786901611.201,-341.797,-41.016,-317.383,431.641,0.000
1786901611.205,74.219,-127.930,-396.973,331.543,0.000
1786901611.208,537.598,-371.094,-562.500,-3.906,0.000
1786901611.212,156.738,-234.375,-483.887,11.230,0.000
1786901611.216,-376.465,26.367,-319.336,342.285,0.000
1786901611.220,-101.074,-144.043,-448.730,408.203,0.000
1786901611.224,450.684,-178.223,-510.742,7.324,0.000
1786901611.228,312.500,-79.102,-418.457,-154.297,0.000
1786901611.232,-270.020,-58.594,-345.215,225.586,0.000
1786901611.236,-253.906,-145.020,-434.082,451.172,0.000
1786901611.240,324.707,-171.387,-497.070,101.074,0.000
1786901611.244,415.527,-79.102,-403.809,-182.129,0.000
1786901611.248,-136.719,-104.980,-412.598,132.324,0.000
1786901611.251,-335.449,-306.152,-568.359,505.859,0.000
1786901611.255,147.949,-304.688,-609.863,261.230,0.000
1786901611.259,439.941,-39.551,-418.945,-176.270,0.000
1786901611.263,6.836,-67.871,-425.781,-10.254,0.000
1786901611.267,-390.137,-253.418,-517.578,421.875,0.000
1786901611.271,-48.828,-193.848,-497.559,315.918,0.000
1786901611.275,443.848,-82.520,-469.727,-121.094,0.000
1786901611.279,0.000,-214.355,-553.711,-90.332,0.000
1786901611.283,0.000,-191.406,-502.930,315.430,0.000
1786901611.287,0.000,-86.426,-429.199,384.766,0.000
1786901611.291,0.000,-62.012,-421.387,-8.301,0.000
1786901611.295,0.000,-145.020,-482.910,-155.762,0.000
1786901611.298,0.000,-238.281,-520.508,226.074,0.000
1786901611.302,0.000,-212.891,-511.719,432.617,0.000
1786901611.306,0.000,-88.867,-449.219,70.312,0.000
1786901611.310,0.000,-116.211,-496.094,-203.613,0.000
1786901611.314,0.000,-225.098,-546.875,78.125,0.000
1786901611.318,0.000,-74.219,-428.223,370.117,0.000
1786901611.322,0.000,18.066,-371.094,165.039,0.000
1786901611.326,421.875,-170.410,-546.387,-157.715,0.000
1786901611.330,4.395,-233.887,-591.797,-39.062,0.000
1786901611.334,-463.867,-70.801,-395.996,299.805,0.000
1786901611.338,-115.723,-126.465,-480.957,280.762,0.000
1786901611.341,425.781,-213.379,-550.293,-115.234,0.000
1786901611.345,207.031,-216.309,-526.367,-166.016,0.000
